O1CN0109TOjl1u8qE5QhzTM_!!2201526595993.jpg_400x400.jpg	6.73853874206543,1.5376737117767334,1.7678592205047607,1.274627447128296,2.789865732192993,0.6271063089370728,2.541532039642334,3.871527671813965,3.40495228767395,4.125557899475098
O1CN010BMgVp2KfyslDmz4T_!!496469585.jpg_400x400.jpg	3.4694690704345703,0.5472419857978821,3.5253734588623047,3.5409672260284424,3.0309925079345703,3.0181312561035156,3.664475917816162,4.31793212890625,3.6537296772003174,2.3191936016082764
O1CN010BYCCx1pn4wIqVBYe_!!1787605404-0-lubanu-s.jpg_400x400.jpg	3.226594924926758,1.0430636405944824,1.2951295375823975,1.165440320968628,0.8531898260116577,1.0234626531600952,2.073977470397949,6.205983638763428,5.881433963775635,2.5789952278137207
O1CN010CthQs1THY6AZx5MQ_!!2450112357.jpg_400x400.jpg	4.865678310394287,4.7909016609191895,3.0806097984313965,2.4539058208465576,2.2095086574554443,4.502617835998535,2.9201295375823975,3.313504934310913,3.307378053665161,1.5140984058380127
O1CN010D9YBV2KebfxMdMRy_!!2369139582.jpg_400x400.jpg	8.249500274658203,7.831291675567627,3.630125045776367,1.5261322259902954,2.905895709991455,3.1041510105133057,4.152908802032471,1.9422051906585693,3.203015089035034,0.2733193039894104
O1CN010ERmOP1pfICplJEQs_!!2206398445387-2-lubanu-s.png_400x400.jpg	-0.2728648781776428,0.622292697429657,1.8240090608596802,1.0725257396697998,1.5211284160614014,3.094942569732666,2.5983400344848633,5.701404571533203,4.878228187561035,2.6367547512054443
O1CN010FyJcI1PpCk7n2fiR_!!1828111889.jpg_400x400.jpg	4.347163200378418,3.9201860427856445,5.846132278442383,5.624763488769531,2.883272409439087,7.233287811279297,5.915915489196777,1.3963853120803833,2.4886257648468018,3.438716173171997
O1CN010Gboek1DCTtVhwutN_!!3481090180-0-lubanu-s.jpg_400x400.jpg	3.3021774291992188,1.3929378986358643,2.5712313652038574,0.7675580978393555,2.046123504638672,1.275451421737671,4.047472953796387,3.534860610961914,3.6495580673217773,3.0683417320251465
O1CN010IRtJu1I5DgWjvVoq_!!2961900841.jpg_400x400.jpg	4.160490036010742,1.5385326147079468,2.69551420211792,3.320840358734131,4.844213485717773,4.676163673400879,6.401820182800293,3.494018077850342,2.6971325874328613,1.3744317293167114
O1CN010LXVRp1i4T2t0Stii_!!1781694359.jpg_400x400.jpg	5.474479675292969,3.1837191581726074,0.5543384552001953,1.701021432876587,2.9615366458892822,2.9277169704437256,3.7637643814086914,6.161264419555664,6.092311859130859,0.4999273419380188
